X,Y,OBJECTID_1,OBJECTID,Name,Address,Postcode,Town,Type_,Comments
-6.718681323343272,55.182776148630069,1,1,The Anchor Bar Complex,"87-89 The Promenade, Portstewart, County Londonderry",BT55 7AG,Portstewart,Night Club, 
-6.662891974508661,55.134716678499956,2,2,Patsys Bar,"1 Bushmills Road, Coleraine, County Londonderry",BT52 2BN,Coleraine,Pub, 
-6.663484742617405,55.134058896132423,3,3,The Railway Arms,"53 Railway Road, Coleraine, County Londonderry",BT52 1PF,Coleraine,Pub, 
-6.675755125939991,55.127785271017402,4,4,The Roost Bar,"1 Shuttle Hill, Coleraine, County Londonderry",BT51 3BZ,Coleraine,Pub, 
-6.677722904540453,55.131855177676307,5,5,The Captains Bar,"8 Captain Street Lower, Coleraine, County Londonderry",BT51 3DT,Coleraine,Pub, 
-6.668503522190078,55.129382490864145,6,6,Mary Craigs,"30-32 New Market Street, Coleraine, County Londonderry",BT52 1EH,Coleraine,Pub, 
-6.669815121435845,55.129773527652496,7,7,The Market Bar,"2 New Market Street, Coleraine, County Londonderry",BT52 1EH,Coleraine,Pub, 
-6.669603227678553,55.129704521745964,8,8,The Forge Bar,"6 New Market Street, Coleraine, County Londonderry",BT52 1EH,Coleraine,Pub, 
-6.669391332700586,55.129650850304358,9,9,Scott's Bar,"10 New Market Street, Coleraine, County Londonderry",BT52 1EH,Coleraine,Pub, 
-6.669203577978906,55.129600245474329,10,10,Blackthorn Inn,"14 New Market Street, Coleraine, County Londonderry",BT52 1EH,Coleraine,Pub, 
-6.669764159142583,55.128660212065824,11,11,The Bulls Eye,"9 Lime Market Street, Coleraine, County Londonderry",BT52 1HD,Coleraine,Pub, 
-6.707934155776273,55.099248116363889,12,12,Mary Pats,"27 Dunderg Road, Coleraine, County Londonderry",BT51 4NE,Macosquin,Pub, 
-6.786928726490525,55.165218920768517,13,13,Temple Bar,"15 Sea Road, Castlerock, County Londonderry",BT51 4TL,Castlerock,Pub, 
-6.78614820370148,55.165932877523801,14,14,Bertha's Bar and Beer Garden,"6 Sea Road, Castlerock, County Londonderry",BT51 4RE,Castlerock,Pub, 
-6.719382291210269,55.186780603411947,15,15,The Ice House,"9-10 The Promenade, Portstewart, County Londonderry",BT55 7AD,Portstewart,Restaurant, 
-6.743901662052534,55.039539750638475,16,16,The Hecklers Bar,"79 Craigmore Road, Ringsend, County Londonderry",BT51 5HF,Ringsend,Pub, 
-6.469220656660367,55.124526631328592,17,17,Blackwater Bar and Restaurant,"250-252 Castlecat Road, Dervock, County Antrim",BT53 8BP,Dervock,Restaurant, 
